Order_Id,Account_Id,Bank_To,Account_To,Amount
29567,99,Trinity Bank,26847303,4682.0
29568,100,Max bank,6381905,598.0
29569,100,Moneta Money Bank,16341108,7329.0
29570,101,Raiffeisen bank,10926431,8037.0
29571,101,Moneta Money Bank,26152324,855.0
29572,102,Trinity Bank,24946403,7370.2
29573,102,Raiffeisen bank,63927906,3373.0
29574,102,Max bank,97521966,377.0
29575,103,UniCredit Bank,2646291,7370.2
29576,104,UniCredit Bank,82782172,578.0
29577,104,Bank Creditas,8965999,1464.0
29578,105,Max bank,58251345,7348.0
29579,106,Hypotecni bank,46916538,3735.0
29580,107,PPF Bank,67744958,2015.0
29581,107,PPF Bank,9999049,1580.0
29582,107,Fio bank ,80934089,959.0
29583,108,J&T Bank ,62673318,4803.0
29584,110,Czech export bank,24390584,3050.0
29585,110,Air Bank,18149984,98.0
29586,110,Bank Creditas,14772266,4516.0
29589,112,Kameron bank,41812431,2051.0
29590,113,Moneta Money Bank,11191487,3146.0
29591,114,Fio bank ,78667527,1590.0
29592,114,UniCredit Bank,90660798,533.0
29593,115,Trinity Bank,51975733,5110.0
29594,116,Raiffeisen bank,99229424,5529.0
29595,116,Bank Creditas,16828024,927.0
29596,117,J&T Bank ,59419953,2329.0
29597,118,PPF Bank,51605445,2449.0
29598,119,Bank Creditas,21662587,8252.0
29599,120,Air Bank,74934506,1899.0
29600,120,Bank Creditas,36501592,3965.0
29601,121,Air Bank,81156724,794.0
29602,121,Max bank,93935125,929.0
29603,121,UniCredit Bank,91729092,393.0
29604,123,Raiffeisen bank,97764080,3016.0
29605,124,PPF Bank,11366123,447.0
29606,124,Czech export bank,51247948,575.0
29607,124,Czech export bank,34663748,971.0
29608,125,PPF Bank,14166999,4422.1
29609,126,Hypotecni bank,62923598,7384.0
29610,127,Air Bank,11707830,2242.0
29611,129,PPF Bank,69084489,3417.0
29612,130,PPF Bank,2152455,3969.0
29613,131,Max bank,29374742,6904.0
29614,132,Hypotecni bank,80542558,7370.2
29615,133,Czech export bank,90329002,3094.0
29616,133,Trinity Bank,45379865,4943.0
29617,133,J&T Bank ,30067122,5123.0
29618,136,UniCredit Bank,78733890,2932.0
29619,137,Moneta Money Bank,71138578,3464.0
29620,137,Max bank,34738314,787.0
29621,141,Raiffeisen bank,30588215,3016.5
29622,141,Raiffeisen bank,65986662,3462.0
29623,141,Hypotecni bank,71174192,1791.0
29624,141,Moneta Money Bank,86448645,6716.0
29625,142,Air Bank,23734498,1845.0
29626,143,Air Bank,81564402,2272.0
29627,145,Moneta Money Bank,81546359,4815.0
29628,146,Kameron bank,76565843,3823.0
29631,148,Raiffeisen bank,29826498,487.0
29632,148,Moneta Money Bank,99004148,89.0
29633,148,Fio bank ,85938459,1736.0
29634,151,Fio bank ,2754378,411.0
29635,151,Raiffeisen bank,77260404,2668.0
29636,152,Czech export bank,21928644,426.0
29637,152,Czech export bank,16610890,2993.0
29638,153,Max bank,6886673,4544.0
29639,154,UniCredit Bank,1314569,3891.0
29640,155,Raiffeisen bank,13971645,2988.0
29641,156,Fio bank ,93965810,2030.0
29642,157,Kameron bank,14697784,3991.0
29643,158,Bank Creditas,61129736,3420.0
29644,159,Moneta Money Bank,1882386,8694.0
29645,160,Fio bank ,52787989,2374.0
29646,160,Bank Creditas,8854127,5552.0
29647,161,Moneta Money Bank,17877823,1389.0
29648,161,Hypotecni bank,62378322,892.0
29649,162,Moneta Money Bank,1325488,3458.0
29650,163,Max bank,86180990,3116.0
29651,163,PPF Bank,8512616,612.0
29652,165,Czech export bank,71082353,1788.0
29653,166,Fio bank ,26919090,3044.0
29654,168,Hypotecni bank,47454333,2013.0
29655,169,PPF Bank,71273207,4975.0
29656,169,Raiffeisen bank,15956706,696.0
29657,171,Max bank,5356938,3486.0
29658,172,Czech export bank,11598539,4221.0
29659,173,Raiffeisen bank,95605074,6256.0
29660,173,Raiffeisen bank,26238835,1428.0
29661,173,J&T Bank ,85405385,735.0
29662,173,J&T Bank ,50065535,189.0
29663,173,Max bank,38819456,8734.0
29664,174,Fio bank ,73784321,2139.0
29667,176,Moneta Money Bank,53236597,2288.3
29668,176,Kameron bank,55640232,4564.0
29669,176,Czech export bank,90734010,36.0
29670,176,Fio bank ,11736327,97.0
29671,178,Czech export bank,16301811,1482.0
29672,178,Bank Creditas,1946038,505.0
29673,179,Max bank,16450244,7615.0
29674,179,PPF Bank,47684144,1066.0
29675,179,Kameron bank,11941713,378.0
29676,179,Czech export bank,39081686,4608.0
29677,181,Raiffeisen bank,66975450,6780.0
29678,183,Kameron bank,5552345,5202.0
29679,183,Moneta Money Bank,85986530,752.0
29680,184,PPF Bank,65986150,1623.0
29681,185,PPF Bank,14592427,6526.0
29682,186,Moneta Money Bank,83964973,6862.0
29683,187,Max bank,39898049,2798.0
29684,188,Kameron bank,26629168,7426.0
29685,189,Moneta Money Bank,54808670,4244.0
29686,189,Czech export bank,28932172,750.0
29687,189,UniCredit Bank,76972424,360.0
29688,190,Air Bank,24279922,4519.0
29689,190,Hypotecni bank,3125066,3233.0
29690,190,Hypotecni bank,5304331,42.0
29691,190,Air Bank,50605297,1316.0
29692,191,Air Bank,89219265,4420.9
29693,192,PPF Bank,70552640,3583.0
29694,193,Fio bank ,21547550,7110.0
29695,194,J&T Bank ,39405787,2648.0
29696,195,Kameron bank,37868559,6260.0
29697,196,UniCredit Bank,84787642,1270.0
29698,196,Kameron bank,90261184,4417.0
29699,196,Raiffeisen bank,30200135,2554.0
29700,196,PPF Bank,21173686,385.0
29701,197,Trinity Bank,67286312,9454.0
29702,198,UniCredit Bank,67775189,700.0
29703,198,Fio bank ,64557379,2166.0
29704,199,J&T Bank ,15875643,1984.0
29705,201,Czech export bank,34061867,9584.0
29711,204,Max bank,59721839,1950.0
29712,205,Kameron bank,99149345,4297.0
29713,206,Raiffeisen bank,75771987,2902.0
29714,207,Raiffeisen bank,71656483,403.0
29715,207,Moneta Money Bank,4786676,10.0
29716,207,Kameron bank,83722591,2726.0
29717,208,Kameron bank,9118587,4148.0
29718,208,J&T Bank ,77937751,1767.0
29719,208,Max bank,98481541,986.0
29720,208,Czech export bank,28241002,545.0
29721,209,Fio bank ,17469549,483.0
29722,209,Trinity Bank,52778792,41.0
29723,209,Raiffeisen bank,1601225,1796.0
29724,210,PPF Bank,24753552,7534.0
29725,211,PPF Bank,2884138,2394.0
29726,212,Trinity Bank,58462047,13841.0
29727,213,Trinity Bank,4553950,5625.0
29728,214,Trinity Bank,26426023,2097.0
29729,215,UniCredit Bank,65896379,2121.0
29730,216,Raiffeisen bank,85333066,1486.0
29731,216,Moneta Money Bank,38205874,1513.0
29732,217,J&T Bank ,23454666,3459.0
29733,217,Air Bank,55710929,653.0
29734,218,PPF Bank,10956299,3182.0
29735,219,Moneta Money Bank,77167427,2336.0
29736,219,Czech export bank,33257001,2988.0
29737,220,Fio bank ,26923066,3095.0
29738,221,J&T Bank ,98228793,7896.0
29739,222,Hypotecni bank,52384513,3440.9
29740,224,Trinity Bank,63218277,3503.0
29741,225,UniCredit Bank,74407583,3383.0
29742,225,Raiffeisen bank,93545496,2.0
29743,226,Max bank,29971635,8928.0
29744,226,Moneta Money Bank,39824432,9112.0
29745,227,Moneta Money Bank,28972292,9381.0
29746,228,Fio bank ,78199761,1946.0
29747,228,Trinity Bank,26569271,2158.0
29748,229,Bank Creditas,55160808,2505.0
29749,230,Bank Creditas,66906124,5615.0
29750,230,Kameron bank,95935326,1527.0
29751,230,Raiffeisen bank,3922403,1058.0
29752,231,Hypotecni bank,51732343,2073.0
29753,232,Raiffeisen bank,62672704,3643.0
29755,234,UniCredit Bank,20655334,2809.0
29756,235,UniCredit Bank,79934978,895.0
29757,235,Raiffeisen bank,52539473,1321.0
29758,237,Kameron bank,13233763,152.0
29759,237,Kameron bank,58324587,1788.0
29760,238,PPF Bank,39059901,2234.0
29761,239,J&T Bank ,96977406,1042.0
29762,239,UniCredit Bank,30218410,5995.0
29763,239,PPF Bank,47741246,152.0
29764,240,Hypotecni bank,50178039,9621.0
29765,240,Czech export bank,22710114,1050.0
29766,241,Fio bank ,28285497,1344.0
29767,241,UniCredit Bank,27381342,632.0
29768,241,Trinity Bank,14364838,610.0
29769,242,Hypotecni bank,23104387,1062.0
29770,242,Hypotecni bank,62032568,2977.0
29771,243,Raiffeisen bank,55282419,1041.0
29772,243,Moneta Money Bank,73269855,3067.0
29773,244,UniCredit Bank,74832015,2190.0
29774,244,Czech export bank,78948193,226.0
29775,244,Moneta Money Bank,7008588,232.0
29776,246,Air Bank,8283996,1970.0
29780,248,Kameron bank,15760773,2484.9
29781,249,Czech export bank,26255619,5618.0
29782,249,Moneta Money Bank,99770348,1876.0
29783,250,Hypotecni bank,24246722,3066.0
29784,251,Kameron bank,92959981,3059.0
29785,252,J&T Bank ,91842740,1767.0
29788,255,Hypotecni bank,88934081,5323.0
29789,257,Bank Creditas,61510014,3816.7
29790,257,Moneta Money Bank,22533124,14166.0
29791,258,Raiffeisen bank,37360865,3737.0
29792,259,UniCredit Bank,86616670,297.0
29793,259,Trinity Bank,8156723,2857.0
29794,260,Moneta Money Bank,71713226,5247.0
29795,261,PPF Bank,49824553,2182.0
29796,261,Bank Creditas,63415229,371.0
29797,263,Hypotecni bank,73582678,6145.0
29798,264,Air Bank,19889706,3307.0
29799,265,Trinity Bank,28306174,2900.0
29800,266,Hypotecni bank,96796440,4975.2
29801,267,Raiffeisen bank,4520118,3074.0
29802,268,Czech export bank,4418570,3121.0
29803,269,Fio bank ,7832789,456.0
29804,269,Air Bank,55865961,1690.0
29805,270,Fio bank ,95370232,5462.0
29806,271,Fio bank ,67201065,1535.0
29807,272,PPF Bank,15116119,7454.0
29808,273,Bank Creditas,77701490,1320.1
29809,273,Czech export bank,80156594,5965.0
29810,273,Trinity Bank,85742187,178.0
29811,273,Air Bank,15870309,1836.0
29812,274,Bank Creditas,91567790,9886.0
29813,275,J&T Bank ,46536463,198.0
29814,275,Max bank,60457825,2062.0
29815,276,Kameron bank,22070646,4470.5
29816,276,Trinity Bank,80801391,5212.0
29817,277,Bank Creditas,67316442,2682.3
29818,278,PPF Bank,93538832,3362.0
29819,278,UniCredit Bank,5409831,676.0
29820,279,Trinity Bank,46485179,624.0
29821,279,Fio bank ,68556356,1380.0
29822,280,Raiffeisen bank,10603589,3334.0
29823,280,Max bank,1495051,4694.0
29824,280,Fio bank ,42263525,957.0
29825,281,J&T Bank ,31156671,5578.0
29826,282,Moneta Money Bank,6997305,7531.0
29827,282,Kameron bank,4248011,802.0
29828,283,Czech export bank,9780645,2802.0
29829,284,Trinity Bank,34219330,5629.0
29830,285,Max bank,52409064,667.0
29831,286,Bank Creditas,3664666,9848.0
29832,287,J&T Bank ,57389086,772.0
29833,287,Trinity Bank,36382317,1572.0
29834,288,Hypotecni bank,29425543,3257.0
29835,288,Fio bank ,97550320,207.0
29836,289,Kameron bank,78823619,5745.0
29837,289,Czech export bank,72798836,2621.0
29838,290,Air Bank,60961633,2577.0
29839,290,Max bank,10382223,2653.0
29840,290,PPF Bank,5267882,3274.0
29841,291,Air Bank,46721518,1941.9
29842,291,Trinity Bank,31507086,62.0
29843,291,Air Bank,27026367,12925.0
29844,292,Raiffeisen bank,722319,1986.0
29845,293,Fio bank ,11480212,1636.0
29846,293,Fio bank ,85708903,845.0
29847,293,Trinity Bank,34143477,1366.0
29848,294,UniCredit Bank,91239595,5842.0
29849,294,Raiffeisen bank,94949411,145.0
29850,294,PPF Bank,58432865,430.0
29851,294,Max bank,58291846,156.0
29852,295,Kameron bank,78368478,6992.0
29853,296,Kameron bank,63953745,2646.0
29854,300,Air Bank,46045607,1628.0
29855,301,PPF Bank,99728369,1950.0
29856,302,Bank Creditas,12600803,3236.0
29857,303,Raiffeisen bank,43664085,3803.0
29858,303,Max bank,25709551,3132.0
29859,304,Kameron bank,27760046,14367.0
29860,305,Bank Creditas,77063089,2953.0
29861,306,PPF Bank,70354622,3657.0
29862,308,J&T Bank ,17178321,1284.0
29863,309,Max bank,74396675,1901.0
29865,311,J&T Bank ,93944477,4777.0
29866,311,Hypotecni bank,80353498,371.0
29867,311,Moneta Money Bank,47159934,3375.0
29868,311,Air Bank,37490087,355.0
29869,311,Air Bank,67794364,422.0
29870,312,Hypotecni bank,31189668,7814.0
29871,313,Moneta Money Bank,6982702,2294.0
29872,314,Hypotecni bank,56231456,2785.0
29873,314,Raiffeisen bank,99187093,13691.0
29874,315,UniCredit Bank,6354302,3509.0
29875,317,Fio bank ,93325268,3068.0
29876,318,Moneta Money Bank,74740838,2858.0
29877,319,Moneta Money Bank,41618597,6149.5
29878,319,Raiffeisen bank,87909203,1057.0
29879,319,Raiffeisen bank,32717514,2196.0
29880,319,Kameron bank,559258,416.0
29881,321,Max bank,44067668,1876.0
29882,322,Bank Creditas,4537106,6550.0
29883,323,Moneta Money Bank,65761726,3025.0
29884,324,Czech export bank,83596694,1785.0
29885,324,Raiffeisen bank,19554490,284.0
29886,325,Moneta Money Bank,69376104,2741.0
29887,326,UniCredit Bank,44978225,1881.0
29888,326,Trinity Bank,63815659,1567.0
29889,327,Czech export bank,86823993,3252.0
29890,327,PPF Bank,47999680,3805.0
29891,328,Czech export bank,10446250,1287.0
29892,328,Moneta Money Bank,3014916,1145.0
29893,329,Moneta Money Bank,73389369,792.0
29894,329,Max bank,23747241,3110.0
29895,330,Czech export bank,23515820,6908.0
29896,331,Max bank,55443829,3528.0
29897,332,UniCredit Bank,6061673,2385.0
29898,333,Fio bank ,71807402,1634.0
29899,333,Fio bank ,42206424,72.0
29900,333,Kameron bank,13184309,292.0
29901,334,PPF Bank,5579948,2374.0
29902,334,UniCredit Bank,37566691,1168.0
29903,335,Moneta Money Bank,80065911,2697.0
29904,336,Kameron bank,40453487,4067.0
29905,338,Kameron bank,37576079,2252.0
29906,339,Czech export bank,60226070,7801.2
29907,339,Hypotecni bank,52391654,4087.0
29908,339,PPF Bank,21728092,48.0
29909,340,J&T Bank ,26790029,917.0
29910,340,Air Bank,80708729,901.0
29911,342,Raiffeisen bank,44861531,2332.0
29912,343,Fio bank ,15103727,2505.0
29913,344,Hypotecni bank,47483712,4739.0
29914,344,J&T Bank ,77219027,1683.0
29915,345,Fio bank ,68522327,8819.0
29916,346,Raiffeisen bank,13685655,7875.0
29917,347,J&T Bank ,37914210,7801.2
29918,349,Bank Creditas,83005469,4660.0
29919,349,Air Bank,66345286,3568.0
29920,350,Kameron bank,77066629,3791.0
29921,352,Raiffeisen bank,56583434,1992.0
29922,353,Max bank,38371622,2687.0
29923,353,J&T Bank ,53546470,879.0
29924,354,Max bank,38533955,4771.0
29925,355,Hypotecni bank,5620038,5012.0
29926,355,Moneta Money Bank,28271162,2927.0
29927,356,Moneta Money Bank,75963014,4188.0
29928,357,Trinity Bank,3304052,1788.0
29929,357,PPF Bank,44572526,280.0
29930,358,Max bank,86354624,532.0
29931,358,Bank Creditas,65233623,1434.0
29932,358,Bank Creditas,94764554,27.0
29933,358,Bank Creditas,94047659,73.0
29934,359,Max bank,86209541,3544.0
29935,361,Air Bank,95369791,1941.0
29936,361,Bank Creditas,59163767,1388.0
29937,362,Bank Creditas,76221531,6001.0
29938,362,Bank Creditas,91743081,292.0
29939,362,Trinity Bank,62852764,68.0
29940,364,Bank Creditas,39232927,2221.0
29941,365,Air Bank,84520810,1766.0
29942,365,Fio bank ,34196335,11528.0
29943,365,Fio bank ,93025660,1782.0
29944,365,Max bank,12044257,5.0
29945,365,Max bank,89672892,9.0
29946,366,PPF Bank,75874721,2442.0
29947,366,Air Bank,11380994,1914.0
29948,366,Fio bank ,29283583,836.0
29949,366,Bank Creditas,68747752,3188.0
29950,367,Raiffeisen bank,59022962,6384.0
29951,368,Bank Creditas,13122338,4381.0
29952,368,Trinity Bank,27974027,742.0
29953,368,Max bank,35746020,269.0
29954,368,Air Bank,33245110,217.0
29955,368,Max bank,35739392,1071.0
29959,370,UniCredit Bank,39040500,215.0
29960,370,Trinity Bank,39893967,1188.0
29961,370,Raiffeisen bank,57786190,672.0
29962,372,Bank Creditas,65089881,7785.0
29963,372,UniCredit Bank,83496254,2148.0
29964,373,Czech export bank,55648291,6452.0
29965,375,Raiffeisen bank,32626718,3824.0
29966,376,PPF Bank,32540393,7097.0
29967,378,UniCredit Bank,28203147,3840.2
29968,378,Raiffeisen bank,6934583,8537.0
29969,378,Kameron bank,85313254,1184.0
29970,378,Bank Creditas,70710897,2.0
29971,378,Raiffeisen bank,23140502,4.0
29972,379,J&T Bank ,35418421,1561.0
29973,379,J&T Bank ,30392295,434.0
29974,379,Moneta Money Bank,42905002,177.0
29975,379,PPF Bank,80296814,312.0
29979,382,PPF Bank,24703598,2235.0
29980,382,Czech export bank,26432061,27.0
29981,382,UniCredit Bank,87132888,14.0
29982,383,Trinity Bank,90773456,2057.0
29983,384,UniCredit Bank,48816210,2304.1
29984,385,Hypotecni bank,28537345,2160.0
29985,385,Bank Creditas,91164779,31.0
29986,385,Moneta Money Bank,79315310,121.0
29987,386,J&T Bank ,39887976,4711.0
29988,388,J&T Bank ,48455613,6524.0
29989,389,Raiffeisen bank,8779210,884.0
29990,389,Hypotecni bank,25948596,3280.0
29991,390,Air Bank,24210876,4977.0
29992,392,Moneta Money Bank,99824958,1407.0
29993,392,Hypotecni bank,27344715,5663.0
29994,393,Kameron bank,10808188,302.0
29995,393,Kameron bank,27135431,5920.0
30001,395,Air Bank,55113202,3871.0
30002,395,Moneta Money Bank,73209607,4036.0
30003,395,Hypotecni bank,8607322,828.0
30004,396,Max bank,71221321,5245.0
30005,396,Moneta Money Bank,26179212,68.0
30006,396,Czech export bank,57553499,308.0
30007,396,Air Bank,33896279,261.0
30008,398,PPF Bank,60894626,1702.0
30009,399,Moneta Money Bank,54855972,3090.5
30010,399,PPF Bank,47246265,6009.0
30011,400,Hypotecni bank,99955695,6948.0
30012,401,Kameron bank,66742342,3600.0
30013,401,Trinity Bank,88922524,1769.0
30014,402,Air Bank,77129357,2083.0
30015,402,J&T Bank ,98438930,2211.0
30016,403,Raiffeisen bank,15987736,2401.0
30017,404,Moneta Money Bank,68393963,1563.0
30018,404,Hypotecni bank,36616319,3450.0
30019,405,Trinity Bank,24659914,1339.0
30020,405,UniCredit Bank,56718403,9632.0
30021,405,Hypotecni bank,11276412,1497.0
30022,405,Raiffeisen bank,1622963,3579.0
30023,406,Max bank,36316532,1800.0
30024,406,Raiffeisen bank,28461408,264.0
30025,407,Hypotecni bank,90311783,5411.0
30026,407,Trinity Bank,32662862,14.0
30027,408,Fio bank ,62073033,5042.0
30028,409,Fio bank ,11262268,6810.0
30029,410,Hypotecni bank,85225909,3825.0
30030,411,Fio bank ,15704101,8499.0
30031,412,Hypotecni bank,35379701,8727.0
30032,413,J&T Bank ,49738037,2107.0
30033,414,Kameron bank,96403741,7870.0
30034,415,Czech export bank,64789080,8740.0
30035,416,Bank Creditas,30481368,982.0
30036,416,J&T Bank ,54040610,987.0
30037,418,UniCredit Bank,92404669,9316.0
30038,420,Raiffeisen bank,49270671,7192.0
30039,421,Air Bank,94967096,5571.0
30040,423,Max bank,78170078,1942.0
30041,424,Hypotecni bank,64132481,4591.0
30042,425,Bank Creditas,21181220,2390.0
30043,425,Czech export bank,54766887,806.0
30044,425,Moneta Money Bank,30106497,64.0
30045,426,UniCredit Bank,45444989,4201.2
30046,426,Kameron bank,9528249,7497.0
30047,426,Moneta Money Bank,34606760,886.0
30048,427,J&T Bank ,43451237,8166.0
30049,428,UniCredit Bank,64758032,3987.0
30050,429,PPF Bank,79427033,5286.0
30051,431,Moneta Money Bank,65853184,6482.0
30052,431,Raiffeisen bank,66201281,715.0
30053,434,Hypotecni bank,98904990,5666.0
30054,434,Bank Creditas,31071788,1637.0
30055,435,UniCredit Bank,75157016,3189.0
30056,436,Hypotecni bank,36372977,4885.0
30057,436,PPF Bank,61715274,72.0
30058,436,J&T Bank ,51325714,293.0
30059,437,J&T Bank ,83092337,2248.0
30060,437,Air Bank,18505370,3106.0
30061,440,Fio bank ,84914481,5825.0
30062,440,Moneta Money Bank,78983664,1756.0
30063,441,Czech export bank,58999586,4473.0
30064,441,Air Bank,91662942,3041.0
30065,441,Hypotecni bank,11125362,765.0
30066,442,Trinity Bank,55799275,7455.0
30067,442,J&T Bank ,21739507,5606.0
30068,442,Bank Creditas,98938321,2068.0
30069,443,Raiffeisen bank,39137601,1508.0
30070,443,PPF Bank,32109809,463.0
30071,443,Fio bank ,69234090,67.0
30072,444,Fio bank ,53384882,4469.0
30073,445,Fio bank ,65335863,3998.0
30074,445,PPF Bank,49652427,7567.0
30075,446,Trinity Bank,81248056,6941.0
30076,447,Moneta Money Bank,35721868,5554.0
30077,447,Bank Creditas,99847948,554.0
30080,449,Kameron bank,84388368,164.0
30081,449,Hypotecni bank,77323555,1789.0
30082,450,Fio bank ,70611452,2404.0
30083,451,Max bank,62285023,7208.0
30084,452,Czech export bank,27081912,5058.0
30085,452,Czech export bank,33601921,375.0
30086,453,Fio bank ,23475498,7012.0
30087,454,Moneta Money Bank,80305754,5687.0
30088,455,Bank Creditas,60398054,8339.0
30089,456,Hypotecni bank,12626231,4783.1
30092,458,Kameron bank,65390032,9586.0
30093,458,J&T Bank ,51641261,1031.0
30094,460,UniCredit Bank,57986551,3554.0
30095,461,Czech export bank,30994916,1530.0
30096,462,Bank Creditas,32409316,8325.0
30097,463,Fio bank ,88697516,6385.0
30098,464,Max bank,4756558,3509.0
30099,465,Bank Creditas,3081554,1278.5
30100,465,PPF Bank,59340989,11126.0
